What was the first 16-bit CPU designed by Intel?|Intel 8086
Who was the first programmer of the history?|Augusta Ada Byron, known as Ada Lovelace
What was the first general-purpose computer?|The ENIAC (1945)
In which decade garbage collection was introduced?|Late 50's (1959) as part of Lisp
What was the first machine in which UNIX run?|PDP-11
What book nicknamed "K&R" served as the informal specification of C for many years?|The C Programming Language (1978)
What was the CPU used by Spectum computers?|Z-80
What was the CPU used by MSX computers?|Z-80
What was the standard graphics mode for VGA adapters?|320x200 in 256 colors
What was the computer display standard after CGA and before VGA?|EGA
What was the first implementation of web browser?|Mosaic
What was the last version of MS-DOS operating system?|6.22
What was the last version of Windows 3?|3.11
What was the name of the kernel originally planned by GNU project?|Hurd
What was the alternative proposed by Microsoft to OpenGL?|DirectX
What was the mascot of Linux kernel?|A penguin
Who's the main author of MINIX operating system?|Andrew Tanenbaum
